Loire-Atlantique;fr-pdl-la;0;0,230235543;0;0;0,390800368;0,46287697;0;0;0;0;0;0,381096916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loiret;fr-cvl-lt;0;0,049571187;0;0;0,176488609;0,23272967;0,169059508;0;0;0,198850837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lot;fr-occ-lo;0;0,018044958;0;0;0,036499498;0;0;0,069217846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lot-et-Garonne;fr-naq-lg;0,019313666;0,020312648;0;0;0,212105672;0;0;0,116214988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lozère;fr-occ-lz;0;0;0;0,04822922;0;0,028157992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maine-et-Loire;fr-pdl-ml;0;0,067701058;0;0,199973027;0,282673811;0,198551142;0;0;0,241628941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manche;fr-nor-mh;0;0,031880868;0;0,112423848;0,201123523;0,113369552;0;0;0,172061451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marne;fr-ges-mr;0;0,096408491;0;0;0,144802543;0,193537914;0,142050345;0;0;0,159321091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haute-Marne;fr-ges-hm;0;0,011671448;0;0,070080302;0,039498111;0;0,05979078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mayenne;fr-pdl-my;0;0,022049213;0;0,072076602;0,072577758;0;0;0,098201665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meurthe-et-Moselle;fr-ges-mm;0;0,068030722;0;0,186819755;0;0,250416659;0;0;0;0,207530332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meuse;fr-ges-ms;0,010579227;0,013128298;0;0,069738982;0,043795402;0;0,061700502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Morbihan;fr-bre-mb;0,044018508;0,050486921;0;0,176480284;0,308730609;0,174012797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moselle;fr-ges-mo;0,069880505;0,077121465;0;0,270965733;0,374437032;0,269267463;0;0;0;0,319448029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nièvre;fr-bfc-ni;0,010302842;0,012019427;0;0;0,134594604;0;0,076445486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nord;fr-hdf-no;0;0,461078801;0;0;0,691042955;0,818719604;0,671807543;0;0;0,662536983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oise;fr-hdf-oi;0;0,120112685;0;0;0,223798765;0;0,262597588;0,216333034;0;0;0;0,228151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Orne;fr-nor-or;0;0,01820979;0;0,115587294;0,061748786;0;0,09903415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pas-de-Calais;fr-hdf-pc;0;0,218464197;0;0,372618883;0,500390436;0,3710638;0;0,407290243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Puy-de-Dôme;fr-ara-pd;0;0,053180844;0;0;0,164202787;0,242682868;0,164738908;0;0;0;0,203078199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrénées-Atlantiques;fr-naq-pa;0;0,046281204;0;0,170576296;0;0;0,16459239;0;0;0;0,224200023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hautes-Pyrénées;fr-occ-hp;0,012640461;0,01560078;0;0,099795042;0,049472953;0;0;0,082517636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrénées-Orientales;fr-occ-po;0,029704751;0,030352424;0;0;0,306218168;0;0;0,164194462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bas-Rhin;fr-ges-br;0;0,094996595;0;0;0,30378398;0,382751898;0,294301969;0;0;0;0,330528412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haut-Rhin;fr-ges-hr;0,050983082;0,053796884;0;0,201125188;0,268478266;0;0,195962112;0;0;0,236422576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhône;fr-ara-rh;0;0,182827154;0;0;0;0,521881884;0;0,567395536;0,505285451;0;0;0;0;0,458950968;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haute-Saône;fr-bfc-hn;0,013346409;0,014826568;0;0;0;0;0,079931936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saône-et-Loire;fr-bfc-sl;0;0,034726304;0;0,126239779;0,228189294;0,123863865;0;0;0,193569548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sarthe;fr-pdl-st;0;0,080081783;0;0,134919274;0,207590271;0,131844072;0;0;0,176373726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Savoie;fr-ara-sv;0;0,028992143;0;0;0,111694591;0,156177626;0,109829823;0;0;0;0,134596269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haute-Savoie;fr-ara-hs;0;0,052762936;0;0;0,243065811;0,256915042;0,239604336;0;0;0;0,22005924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;fr-idf-vp;0;0;0;0,196198538;0;0;0;0;0;0;0;0,69161404;0;0;0,670953412;0;0,65490642;0;0;0;0;0;0;0;0;0;0;0
Seine-Maritime;fr-nor-sm;0;0,098326537;0;0;0,317676499;0,439682257;0,306822552;0;0;0;0,356099039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
