geoName;code_map;arts;Automobile;Affaires;Carrieres;Education;famille;sante;alimentation;Loisirs;jardin;politique;Actualites;Finances;Societe;Science;Animaux;Sports;mode;technologie;voyage;Immobilier;shopping;;;;;;;;;;;;;;;;;;;;;;
Loire-Atlantique;fr-pdl-la;0;51;0;37;0;69;0;2;0;73;0;95;0;66;0;64;0;75;0;54;0;8;0;68;0;48;0;38;0;68;0;63;0;59;0;92;0;74;0;42;0;38;0;34
Loiret;fr-cvl-lt;0;38;0;36;0;58;0;3;0;86;0;92;0;71;0;63;0;87;0;53;0;7;0;56;0;36;0;56;0;68;0;63;0;66;0;98;0;66;0;38;0;3;0;35
Lot;fr-occ-lo;0;34;0;34;0;55;0;0;73;0;75;0;73;0;66;0;8;0;53;0;76;0;95;0;39;0;41;0;6;0;71;0;63;0;89;0;55;0;3;0;37;0;35;
Lot-et-Garonne;fr-naq-lg;0;29;0;32;0;53;0;0;75;0;81;0;77;0;62;0;95;0;47;0;61;0;62;0;38;0;45;0;57;0;68;0;65;0;88;0;61;0;34;0;36;0;34;
Lozère;fr-occ-lz;0;36;0;33;0;62;0;0;93;0;89;0;87;0;76;0;53;0;48;0;81;0;88;0;49;0;48;0;61;1;0;51;0;87;0;66;0;28;0;31;0;3;;
Maine-et-Loire;fr-pdl-ml;0;39;0;37;0;65;0;2;0;73;1;0;7;0;64;0;85;0;51;0;74;0;6;0;35;0;34;0;63;0;62;0;61;0;94;0;77;0;38;0;3;0;34;
Manche;fr-nor-mh;0;29;0;43;0;64;0;2;0;78;0;82;0;72;0;6;0;87;0;51;0;6;0;74;0;5;0;61;0;59;0;66;0;52;0;87;0;84;0;36;0;31;0;31
Marne;fr-ges-mr;0;36;0;37;0;68;0;3;0;9;0;81;0;62;0;61;0;65;0;46;0;71;0;48;0;38;0;47;0;71;0;6;0;47;0;92;0;63;0;38;0;27;0;4
Mayenne;fr-pdl-my;0;31;0;39;0;53;0;2;0;68;1;0;7;0;65;1;0;51;0;7;0;68;0;41;0;36;0;52;0;68;0;55;0;87;0;79;0;37;0;31;0;35;;
Meurthe-et-Moselle;fr-ges-mm;0;39;0;34;0;64;0;2;0;9;0;86;0;7;0;64;0;64;0;51;0;74;0;58;0;48;0;51;0;79;0;64;0;51;0;97;0;63;0;35;0;29;0;39
Meuse;fr-ges-ms;0;28;0;3;0;81;0;0;8;0;88;0;61;0;67;0;72;0;48;0;54;0;39;0;44;0;38;0;38;0;77;0;39;1;0;63;0;3;0;27;0;4;;
Morbihan;fr-bre-mb;0;38;0;31;0;89;0;2;0;69;0;94;0;64;0;7;0;9;0;56;0;74;0;83;0;4;0;41;0;62;0;66;0;59;0;91;0;59;0;38;0;39;0;32
Moselle;fr-ges-mo;0;31;0;37;0;64;0;2;0;75;0;78;0;64;0;64;0;55;0;49;0;63;0;41;0;41;0;4;0;6;0;6;0;49;0;99;0;63;0;35;0;27;0;43
Nièvre;fr-bfc-ni;0;3;0;3;0;72;0;4;0;82;0;81;0;65;0;64;0;8;0;54;0;56;0;55;0;47;0;43;0;49;0;69;0;49;0;87;0;59;0;3;0;32;0;32
Nord;fr-hdf-no;0;44;0;36;0;62;0;2;0;84;0;89;0;71;0;62;0;64;0;42;0;71;0;46;0;4;0;52;0;7;0;56;0;58;0;98;0;62;0;39;0;27;0;46
Oise;fr-hdf-oi;0;32;0;32;0;67;0;4;0;83;0;91;0;62;0;65;0;76;0;47;0;69;0;46;0;39;0;73;0;59;0;64;0;51;0;91;0;8;0;37;0;28;0;43
Orne;fr-nor-or;0;33;0;42;0;54;0;3;0;74;0;84;0;77;0;63;0;99;0;51;0;59;0;77;0;32;0;46;0;48;0;78;0;46;0;88;0;7;0;34;0;32;0;3
Paris;fr-idf-vp;0;64;0;27;0;95;0;8;0;81;0;76;0;7;0;58;0;44;0;41;1;0;6;0;65;0;59;0;93;0;42;0;63;0;88;0;6;0;37;0;28;0;64;
