Campaign Name,Office,Start Date,End Date,date_dif,Status,Price Model,Goal budget,Volume booked,Price,Format,KPI,Impressions,Completes,Clicks,Conversions,Viewability,Budget Spent,Mediacost,Margin,Volume delivered,Achievement,Time,Trend,Rem. Volume,Rem. Day,Rem. Volume / day
,,03/10/2019,31/10/2019,28,,CPC,2955.58,6568.00,0.45,,,1661573.00,,6848,,,,,,,,,,,,
,,15/10/2019,31/10/2019,16,,CPM,28841.71,4120347.00,7.00,,,4242594.00,,938141,,,,,,,,,,,,
,,01/10/2019,27/10/2019,26,,CPM,20000.00,10000000.00,2.00,,,10086194.00,,7193,,,,,,,,,,,,
,,07/10/2019,26/10/2019,19,,CPM,30000.00,1666667.00,18.00,,,1418408.00,,891,,,,,,,,,,,,
,,23/10/2019,26/10/2019,3,,CPM,1500.00,214285.71,7.00,,,220032.00,,2879,,,,,,,,,,,,
,,26/09/2019,20/10/2019,24,,CPM,124985.35,12531440.00,15.00,,,12621014.00,,4337,,,,,,,,,,,,
,,07/10/2019,20/10/2019,13,,CPM,10000.00,909091.00,11.00,,,1008242.00,,284,,,,,,,,,,,,
,,16/09/2019,13/10/2019,27,,CPM,5810.58,484174.00,12.00,,,217533.00,,5614,,,,,,,,,,,,
,,03/10/2019,13/10/2019,10,,CPM,5951.00,700000.00,8.50,,,399809.00,,166,,,,,,,,,,,,
,,16/09/2019,07/10/2019,21,,CPM,19999.99,1111177.00,18.00,,,769078.00,,32,,,,,,,,,,,,
,,09/09/2019,30/09/2019,21,,CPM,18905.00,995000.00,19.00,,,253779.00,,303,,,,,,,,,,,,
,,11/09/2019,29/09/2019,18,,CPC,10000.00,28571.00,0.35,,,226298.00,,457,,,,,,,,,,,,
,,05/11/2019,31/12/2019,56,,CPM,65645.74,3861900.00,17.00,,,3982406.00,,5740,,,,,,,,,,,,
,,05/11/2019,30/11/2019,25,,CPM,30005.00,5000000.00,6.00,,,5226164.00,,3307,,,,,,,,,,,,
,,05/11/2019,06/01/2020,62,,CPM,40000.00,2500000.00,16.00,,,2700785.00,,6792,,,,,,,,,,,,
,,18/11/2019,31/12/2019,43,,CPM,35001.86,2592592.00,13.50,,,2764722.00,,40012,,,,,,,,,,,,
,,21/11/2019,31/12/2019,40,,CPM,30000.00,4999999.00,6.00,,,6520229.00,,115532,,,,,,,,,,,,
,,28/11/2019,31/12/2019,33,,CPM,11000.00,1571429.00,7.00,,,1246612.00,,10189,,,,,,,,,,,,
,,29/11/2019,30/12/2019,31,,CPM,30000.00,857143.00,35.00,,,1745988.00,,58787,,,,,,,,,,,,
,,02/12/2019,22/12/2019,20,,CPM,78600.00,4366667.00,18.00,,,3123559.00,,19555,,,,,,,,,,,,
,,02/12/2019,16/12/2019,14,,CPM,5000.00,333334.00,15.00,,,468860.00,,78,,,,,,,,,,,,
,,29/11/2019,30/11/2019,1,,CPM,9950.70,1118247.00,8.90,,,1118247.00,,18638,,,,,,,,,,,,
,,02/12/2019,22/12/2019,20,,CPM,90032.22,10117708.00,8.90,,,12123813.00,,13236,,,,,,,,,,,,
,,03/12/2019,15/12/2019,12,,CPM,25000.00,2083334.00,12.00,,,2308698.00,,319,,,,,,,,,,,,
,,02/12/2019,24/12/2019,22,,CPC,10000.00,29412.00,0.34,,,1481097.00,,15658,,,,,,,,,,,,
,,02/12/2019,24/12/2019,22,,CPC,10000.00,29412.00,0.34,,,458816.00,,39884,,,,,,,,,,,,
,,04/12/2019,31/12/2019,27,,CPM,14917.96,1132373.00,13.17,,,1562874.00,,1194,,,,,,,,,,,,
,,09/12/2019,31/12/2019,22,,CPM,1829.00,261286.00,7.00,,,297646.00,,232,,,,,,,,,,,,
,,13/12/2019,31/12/2019,18,,CPM,3000.00,428572.00,7.00,,,168193.00,,984,,,,,,,,,,,,
,,26/12/2019,27/12/2019,1,,CPM,4500.00,642858.00,7.00,,,510899.00,,8691,,,,,,,,,,,,
,,07/01/2020,15/01/2020,8,,CPM,15803.34,1128850.00,14.00,,,1170477.00,,13500,,,,,,,,,,,,
,,23/01/2020,23/03/2020,60,,CPM,10000.00,1428571.00,7.00,,,831890.00,,35241,,,,,,,,,,,,
,,24/01/2020,08/02/2020,15,,CPM,4699.06,551784.00,9.00,,,623153.00,,504,,,,,,,,,,,,
,,02/01/2020,19/01/2020,17,,CPM,20825.00,1735416.67,12.00,,,1736210.00,,2816,,,,,,,,,,,,
,,06/01/2020,26/01/2020,20,,CPM,19000.00,2375000.00,8.00,,,2353533.00,,112069,,,,,,,,,,,,
,,01/03/2020,31/03/2020,30,,CPC,7499.80,24998.00,0.30,,,1967301.00,,13838,,,,,,,,,,,,
,,10/02/2020,23/02/2020,13,,CPM,15000.00,1357466.00,11.00,,,1357513.00,,1080,,,,,,,,,,,,
,,19/02/2020,30/03/2020,40,,CPM,19683.15,1968398.00,10.00,,,459372.00,,625,,,,,,,,,,,,
,,30/01/2020,14/02/2020,15,,CPM,15000.00,1500000.00,10.00,,,599512.00,,693,,,,,,,,,,,,
,,10/02/2020,29/02/2020,19,,CPM,20000.00,2000000.00,10.00,,,1778013.00,,5482,,,,,,,,,,,,
,,20/02/2020,05/04/2020,45,,CPM,10000.00,909010.00,11.00,,,187377.00,,209,,,,,,,,,,,,
,,21/02/2020,13/03/2020,21,,CPM,30000.00,1875000.00,16.00,,,33054.00,,30,,,,,,,,,,,,
